id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,bairro,crawled_at
2536950811,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1200000-id-2536950811/,"Apartamento com 2 Quartos à Venda, 66m²","Avenida Engenheiro Luiz Carlos Berrini, 105 - Brooklin, São Paulo - SP",66,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Academia
...",R$ 1.200.000,,Brooklin,2021-10-10 13:53
2510080649,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-76m2-venda-RS887000-id-2510080649/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Andréa Paulinetti, 234 - Brooklin, São Paulo - SP",76,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 887.000,,Brooklin,2021-10-10 13:53
2534101411,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-43m2-venda-RS455000-id-2534101411/,"Apartamento com 2 Quartos à Venda, 43m²","Rua Sansão Alves dos Santos, 373 - Brooklin, São Paulo - SP",43,2 Quartos,1 Banheiro,2 Vagas,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 455.000,R$ 878,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/open-marajoara-2472103397,https://www.vivareal.com.br/imoveis-lancamento/open-marajoara-2472103397/,Open Marajoara,"Avenida Yervant Kissajikian - Vila Joaniza, São Paulo - SP",46-61,2-3 Quartos,1-2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Academia
Playground
Varanda gourmet
...",R$ 391.000,,Brooklin,2021-10-10 13:53
2532392089,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-67m2-venda-RS550000-id-2532392089/,"Apartamento com 2 Quartos à Venda, 67m²","Rua Francisco Dias Velho, 67 - Brooklin, São Paulo - SP",67,2 Quartos,2 Banheiros,1 Vaga,"Churrasqueira
Salão de festas
Portão eletrônico
Portaria 24h",R$ 550.000,R$ 720,Brooklin,2021-10-10 13:53
2535045985,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-65m2-venda-RS1020000-id-2535045985/,"Apartamento com 2 Quartos à Venda, 65m²","Rua Ministro Luiz Gallotti - Brooklin, São Paulo - SP",65,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 1.020.000,R$ 842,Brooklin,2021-10-10 13:53
2537120276,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-142m2-venda-RS1521516-id-2537120276/,"Apartamento com 4 Quartos à Venda, 142m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",142,4 Quartos,5 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.521.516,R$ 1.278,Brooklin,2021-10-10 13:53
2534979986,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-239m2-venda-RS3500000-id-2534979986/,"Apartamento com 3 Quartos à Venda, 239m²","Rua Arizona - Brooklin, São Paulo - SP",239,3 Quartos,6 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Ar-condicionado
...",R$ 3.500.000,R$ 2.300,Brooklin,2021-10-10 13:53
2536272808,https://www.vivareal.com.br/imovel/cobertura-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-201m2-venda-RS2700000-id-2536272808/,"Apartamento com 3 Quartos à Venda, 201m²","Rua Bacaetava, 264 - Brooklin, São Paulo - SP",201,3 Quartos,5 Banheiros,4 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Quintal
...",R$ 2.700.000,R$ 2.300,Brooklin,2021-10-10 13:53
2531825048,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-105m2-venda-RS1054888-id-2531825048/,"Apartamento com 3 Quartos à Venda, 105m²","Rua Nova York - Brooklin, São Paulo - SP",105,3 Quartos,3 Banheiros,1 Vaga,"Interfone
Armário na cozinha
Ar-condicionado
Área de serviço",R$ 1.054.888,R$ 1.200,Brooklin,2021-10-10 13:53
