id,url,header,address,area,bathrooms,garages,amenites,price,condo,bairro,crawled_at
2509216419,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-110m2-venda-RS1250023-id-2509216419/,"Apartamento com 3 Quartos à Venda, 110m²","Rua Joaquim Guarani, 267 - Brooklin, São Paulo - SP",110,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.250.023,,Brooklin,2021-10-10 15:44
2535631636,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-98m2-venda-RS1150000-id-2535631636/,"Apartamento com 2 Quartos à Venda, 98m²","Rua Nebraska, 409 - Brooklin, São Paulo - SP",98,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Academia Espaço gourmet ...,R$ 1.150.000,R$ 1.600,Brooklin,2021-10-10 15:44
2529209626,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-24m2-venda-RS259000-id-2529209626/,"Apartamento com Quarto à Venda, 24m²","Avenida Doutor Chucri Zaidan, 111 - Brooklin, São Paulo - SP",24,1 Banheiro,-- Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 259.000,,Brooklin,2021-10-10 15:44
2534396543,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-230m2-venda-RS4000000-id-2534396543/,Apartamento com 4 Quartos à Venda/Aluguel 230m²,"Rua Flórida, 1901 - Brooklin, São Paulo - SP",230,6 Banheiros,3 Vagas,Piscina Elevador Academia Espaço gourmet Jardim ...,R$ 4.000.000,R$ 3.000,Brooklin,2021-10-10 15:44
2524760291,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS850000-id-2524760291/,Apartamento com 2 Quartos à Venda/Aluguel 70m²,"Rua Joaquim Guarani, 485 - Brooklin, São Paulo - SP",70,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Condomínio fechado Academia ...,R$ 850.000,R$ 850,Brooklin,2021-10-10 15:44
2537001501,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-164m2-venda-RS3040000-id-2537001501/,"Apartamento com 3 Quartos à Venda, 164m²","Rua Nova York - Brooklin, São Paulo - SP",164,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 3.040.000,R$ 1.350,Brooklin,2021-10-10 15:44
https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-ii-2530442194,https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-ii-2530442194/,Vivaz Transamerica II,"Avenida Mário Lopes Leão, 916 - Santo Amaro, São Paulo - SP",24-33,1 Banheiro,-- Vaga,None,R$ 199.000,,Brooklin,2021-10-10 15:44
2534734492,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-214m2-venda-RS3500000-id-2534734492/,"Apartamento com 4 Quartos à Venda, 214m²","Avenida Portugal, 587 - Brooklin, São Paulo - SP",214,2 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 3.500.000,,Brooklin,2021-10-10 15:44
2531481143,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-85m2-venda-RS750000-id-2531481143/,"Apartamento com 2 Quartos à Venda, 85m²","Rua Sansão Alves dos Santos, 138 - Brooklin, São Paulo - SP",85,2 Banheiros,1 Vaga,Elevador Aceita animais Área de serviço Playground Salão de festas ...,R$ 750.000,R$ 823,Brooklin,2021-10-10 15:44
2528373709,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-117m2-venda-RS1530000-id-2528373709/,"Apartamento com 3 Quartos à Venda, 117m²","Rua Joaquim Guarani, 452 - Brooklin, São Paulo - SP",117,5 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.530.000,R$ 1.220,Brooklin,2021-10-10 15:44
